id|faction_id|name|dp_cost|keyword|force_dispositions|
000000765|AC|Shield Host|2|Guardian|Purge the Foe|
000000861|AC|Talons Of The Emperor|3|Talons|Take and Hold|
000000862|AC|Null Maiden Vigil|2|Anathema|Recon|
000000986|AC|Solar Spearhead|2|Armoured|Take and Hold|
000000863|AC|Auric Champions|2|Guardian|Priority Assets|
000001018|AE|Windrider Host|2|Saim-Hann|Disruption|
000001024|AE|Aspect Host|2|Aspect|Disruption|
000000760|AM|Combined Arms|3|Regiment|Priority Assets|
000001012|AM|Hammer of the Emperor|2|Armoured|Purge the Foe|
000000750|SM|Gladius Task Force|3|Codex|Priority Assets|
000000794|SM|Ironstorm Spearhead|2|Armoured|Purge the Foe|
000000793|SM|Anvil Siege Force|2|Bastion|Take and Hold|
000000798|SM|1st Company Task Force|2|Vanguard|Priority Assets|
000000795|SM|Firestorm Assault Force|2|Assault|Purge the Foe|
000000796|SM|Stormlance Task Force|3|Mounted|Disruption|
000000797|SM|Vanguard Spearhead|2|Stealth|Recon|
000000994|SM|Librarius Conclave|1|Librarius||
000001130|SM|Bastion Task Force|2|Battleline|Take and Hold|
000001131|SM|Orbital Assault Force|2|DeepStrike|Take and Hold|
000000834|SM|Unforgiven Task Force|2|Unforgiven|Take and Hold|
000000835|SM|Inner Circle Task Force|2|Deathwing|Priority Assets|
000000836|SM|Company of Hunters|2|Ravenwing|Disruption|
000000981|SM|Lion’s Blade Task Force|2|LionsBlade|Purge the Foe|
000001059|SM|Wrath of the Rock|3|Wrath||
